tpma_code,tpma_name,tpma_subtype,tpma_variable,activity_type,tpma_type,tpma_mechanism,active_from,active_to
AE-AA-001,Discharged from A&E with No Investigation or Treatment,"Adult, Ambulance Conveyed",discharged_no_treatment_adult_ambulance,A&E,Activity avoidance,Redirection/Substitution,v0.6.3,NA
AE-AA-002,Discharged from A&E with No Investigation or Treatment,"Adult, Walk-in",discharged_no_treatment_adult_walk-in,A&E,Activity avoidance,Redirection/Substitution,v0.6.3,NA
AE-AA-003,Discharged from A&E with No Investigation or Treatment,"Children, Ambulance Conveyed",discharged_no_treatment_child_ambulance,A&E,Activity avoidance,Redirection/Substitution,v0.6.3,NA
AE-AA-004,Discharged from A&E with No Investigation or Treatment,"Children, Walk-in",discharged_no_treatment_child_walk-in,A&E,Activity avoidance,Redirection/Substitution,v0.6.3,NA
AE-AA-005,Frequent A&E Attenders,"Adult, Ambulance Conveyed",frequent_attenders_adult_ambulance,A&E,Activity avoidance,Redirection/Substitution,v0.6.0,NA
AE-AA-006,Frequent A&E Attenders,"Adult, Walk-in",frequent_attenders_adult_walk-in,A&E,Activity avoidance,Redirection/Substitution,v0.6.0,NA
AE-AA-007,Frequent A&E Attenders,"Children, Ambulance Conveyed",frequent_attenders_child_ambulance,A&E,Activity avoidance,Redirection/Substitution,v0.6.0,NA
AE-AA-008,Frequent A&E Attenders,"Children, Walk-in",frequent_attenders_child_walk-in,A&E,Activity avoidance,Redirection/Substitution,v0.6.0,NA
AE-AA-009,Patients Leaving A&E Before Treatment,"Adult, Ambulance Conveyed",left_before_seen_adult_ambulance,A&E,Activity avoidance,Redirection/Substitution,v0.6.0,NA
AE-AA-010,Patients Leaving A&E Before Treatment,"Adult, Walk-in",left_before_seen_adult_walk-in,A&E,Activity avoidance,Redirection/Substitution,v0.6.0,NA
AE-AA-011,Patients Leaving A&E Before Treatment,"Children, Ambulance Conveyed",left_before_seen_child_ambulance,A&E,Activity avoidance,Redirection/Substitution,v0.6.0,NA
AE-AA-012,Patients Leaving A&E Before Treatment,"Children, Walk-in",left_before_seen_child_walk-in,A&E,Activity avoidance,Redirection/Substitution,v0.6.0,NA
AE-AA-013,Low Cost Discharged A&E Attendances,"Adult, Ambulance Conveyed",low_cost_discharged_adult_ambulance,A&E,Activity avoidance,Redirection/Substitution,v0.6.0,NA
AE-AA-014,Low Cost Discharged A&E Attendances,"Adult, Walk-in",low_cost_discharged_adult_walk-in,A&E,Activity avoidance,Redirection/Substitution,v0.6.0,NA
AE-AA-015,Low Cost Discharged A&E Attendances,"Children, Ambulance Conveyed",low_cost_discharged_child_ambulance,A&E,Activity avoidance,Redirection/Substitution,v0.6.0,NA
AE-AA-016,Low Cost Discharged A&E Attendances,"Children, Walk-in",low_cost_discharged_child_walk-in,A&E,Activity avoidance,Redirection/Substitution,v0.6.0,NA
IP-AA-001,Alcohol Related Admissions,Acute Conditions - Partially Attributable,alcohol_partially_attributable_acute,IP,Activity avoidance,Prevention,v0.6.0,NA
IP-AA-002,Alcohol Related Admissions,Chronic Conditions - Partially Attributable,alcohol_partially_attributable_chronic,IP,Activity avoidance,Prevention,v0.6.0,NA
IP-AA-003,Alcohol Related Admissions,Wholly Attributable,alcohol_wholly_attributable,IP,Activity avoidance,Prevention,v0.6.0,NA
IP-AA-004,Ambulatory Care Sensitive Admissions,Acute Conditions,ambulatory_care_conditions_acute,IP,Activity avoidance,Redirection/Substitution,v0.6.0,NA
IP-AA-005,Ambulatory Care Sensitive Admissions,Chronic Conditions,ambulatory_care_conditions_chronic,IP,Activity avoidance,Redirection/Substitution,v0.6.0,NA
IP-AA-006,Ambulatory Care Sensitive Admissions,Vaccine Preventable,ambulatory_care_conditions_vaccine_preventable,IP,Activity avoidance,Redirection/Substitution,v0.6.0,NA
IP-AA-007,Cancelled Operations,NA,cancelled_operations,IP,Activity avoidance,Hospital Efficiency,v0.6.0,NA
IP-AA-008,End of Life Care Admissions,Died Within 2 Days,eol_care_2_days,IP,Activity avoidance,Redirection/Substitution,v0.6.0,NA
IP-AA-009,End of Life Care Admissions,Died Within 3-14 Days,eol_care_3_to_14_days,IP,Activity avoidance,Redirection/Substitution,v0.6.0,NA
IP-AA-010,Interventions with Limited Evidence,ENT,evidence_based_interventions_ent,IP,Activity avoidance,Deadoption,v0.6.0,NA
IP-AA-011,Interventions with Limited Evidence,General Surgery,evidence_based_interventions_general_surgery,IP,Activity avoidance,Deadoption,v0.6.0,NA
IP-AA-012,Interventions with Limited Evidence,GI Surgical,evidence_based_interventions_gi_surgical,IP,Activity avoidance,Deadoption,v0.6.0,NA
IP-AA-013,Interventions with Limited Evidence,MSK,evidence_based_interventions_msk,IP,Activity avoidance,Deadoption,v0.6.0,NA
IP-AA-014,Interventions with Limited Evidence,Urology,evidence_based_interventions_urology,IP,Activity avoidance,Deadoption,v0.6.0,NA
IP-AA-015,Interventions with Limited Evidence,Vascular Varicose Veins,evidence_based_interventions_vascular_varicose_veins,IP,Activity avoidance,Deadoption,v0.6.0,NA
IP-AA-016,Falls Related Admissions,NA,falls_related_admissions,IP,Activity avoidance,Prevention,v0.6.0,NA
IP-AA-017,Frailty Admissions,High Frailty Risk,frail_elderly_high,IP,Activity avoidance,Redirection/Substitution,v0.6.0,NA
IP-AA-018,Frailty Admissions,Intermediate Frailty Risk,frail_elderly_intermediate,IP,Activity avoidance,Redirection/Substitution,v0.6.0,NA
IP-AA-019,Admissions Following Self-Harm,NA,intentional_self_harm,IP,Activity avoidance,Redirection/Substitution,v0.6.0,NA
IP-AA-020,Admission for Medically Unexplained Conditions,NA,medically_unexplained_related_admissions,IP,Activity avoidance,Redirection/Substitution,v0.6.0,NA
IP-AA-021,Medicines Related Admissions,Explicit,medicines_related_admissions_explicit,IP,Activity avoidance,Prevention,v0.6.0,NA
IP-AA-022,Medicines Related Admissions,Implicit - Anti-Diabetics,medicines_related_admissions_implicit_anti-diabetics,IP,Activity avoidance,Prevention,v0.6.0,NA
IP-AA-023,Medicines Related Admissions,Implicit - Benzodiazepines,medicines_related_admissions_implicit_benzodiasepines,IP,Activity avoidance,Prevention,v0.6.0,NA
